index,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
18-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
21-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
22-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
23-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
24-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
25-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
28-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
29-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
30-09-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
01-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
02-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
05-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
06-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
07-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
08-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
09-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
12-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
13-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
14-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
15-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
16-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
19-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
20-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
21-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
22-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
23-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
26-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
27-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
28-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
29-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
30-10-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
02-11-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
03-11-2020,13450.0,12150.0,11300.0,13900.0,12800.0,16300.0,14150.0
04-11-2020,13400.0,12150.0,11300.0,13900.0,12700.0,16300.0,14150.0
05-11-2020,13400.0,12150.0,11300.0,13900.0,12700.0,16300.0,14150.0
06-11-2020,13400.0,12150.0,11300.0,13900.0,12700.0,16300.0,14150.0
09-11-2020,13450.0,12200.0,11300.0,13950.0,12750.0,16350.0,14200.0
10-11-2020,13450.0,12200.0,11300.0,13950.0,12750.0,16350.0,14200.0
11-11-2020,13450.0,12200.0,11300.0,13950.0,12750.0,16350.0,14200.0
12-11-2020,13450.0,12200.0,11300.0,13950.0,12750.0,16350.0,14200.0
13-11-2020,13450.0,12200.0,11300.0,13950.0,12750.0,16350.0,14200.0
16-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
17-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
18-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
19-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
20-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
23-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
24-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
25-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
26-11-2020,13450.0,12150.0,11300.0,13950.0,12750.0,16350.0,14200.0
