iter	Passed	Remaining
651	5182	2765
652	5188	2756
653	5194	2748
654	5200	2739
655	5207	2730
656	5213	2721
657	5220	2713
658	5226	2704
659	5232	2695
660	5239	2686
661	5245	2678
662	5251	2669
663	5257	2660
664	5263	2651
665	5269	2642
666	5275	2633
667	5281	2624
668	5287	2616
669	5293	2607
670	5299	2598
671	5305	2589
672	5311	2580
673	5317	2571
674	5323	2563
675	5329	2554
676	5336	2545
677	5341	2537
678	5347	2528
679	5354	2519
680	5359	2510
681	5366	2502
682	5372	2493
683	5378	2484
684	5384	2475
685	5390	2467
686	5397	2458
687	5402	2450
688	5408	2441
689	5414	2432
690	5420	2424
691	5427	2415
692	5433	2406
693	5439	2398
694	5445	2389
695	5451	2381
696	5457	2372
697	5463	2364
698	5470	2355
699	5476	2347
700	5482	2338
701	5488	2330
702	5495	2321
703	5501	2313
704	5507	2304
705	5513	2295
706	5519	2287
707	5525	2278
708	5531	2270
709	5537	2261
710	5543	2253
711	5549	2244
712	5555	2236
713	5562	2227
714	5567	2219
715	5573	2210
716	5579	2202
717	5585	2193
718	5591	2185
719	5598	2177
720	5604	2168
721	5611	2160
722	5618	2152
723	5624	2144
724	5631	2135
725	5637	2127
726	5643	2119
727	5650	2111
728	5656	2102
729	5663	2094
730	5669	2086
731	5675	2077
732	5680	2069
733	5687	2061
734	5693	2052
735	5699	2044
736	5705	2036
737	5711	2027
738	5717	2019
739	5723	2011
740	5729	2002
741	5735	1994
742	5741	1985
743	5747	1977
744	5753	1969
745	5758	1960
746	5764	1952
747	5770	1944
748	5776	1935
749	5781	1927
750	5787	1919
751	5794	1910
752	5800	1902
753	5806	1894
754	5812	1886
755	5818	1877
756	5824	1869
757	5829	1861
758	5835	1852
759	5841	1844
760	5847	1836
761	5853	1828
762	5859	1820
763	5865	1811
764	5870	1803
765	5876	1795
766	5882	1787
767	5888	1778
768	5894	1770
769	5901	1762
770	5907	1754
771	5913	1746
772	5919	1738
773	5926	1730
774	5932	1722
775	5937	1714
776	5943	1705
777	5949	1697
778	5955	1689
779	5961	1681
780	5967	1673
781	5973	1665
782	5979	1657
783	5985	1649
784	5992	1641
785	5998	1633
786	6004	1625
787	6010	1616
788	6016	1608
789	6022	1600
790	6028	1592
791	6033	1584
792	6040	1576
793	6046	1568
794	6052	1560
795	6058	1552
796	6064	1544
797	6070	1536
798	6076	1528
799	6081	1520
800	6087	1512
801	6093	1504
802	6100	1496
803	6106	1488
804	6112	1480
805	6118	1472
806	6124	1464
807	6130	1456
808	6136	1448
809	6142	1440
810	6148	1432
811	6154	1424
812	6159	1416
813	6165	1408
814	6171	1400
815	6177	1392
816	6183	1384
817	6189	1377
818	6195	1369
819	6202	1361
820	6208	1353
821	6214	1345
822	6220	1337
823	6226	1330
824	6233	1322
825	6239	1314
826	6245	1306
827	6251	1298
828	6256	1290
829	6262	1282
830	6268	1274
831	6274	1266
832	6280	1259
833	6286	1251
834	6292	1243
835	6298	1235
836	6305	1227
837	6311	1220
838	6317	1212
839	6322	1204
840	6328	1196
841	6334	1188
842	6340	1180
843	6346	1172
844	6352	1165
845	6357	1157
846	6363	1149
847	6369	1141
848	6375	1133
849	6381	1126
850	6387	1118
851	6394	1110
852	6400	1102
853	6406	1095
854	6412	1087
855	6418	1079
856	6424	1071
857	6430	1064
858	6436	1056
859	6442	1048
860	6447	1040
861	6453	1033
862	6459	1025
863	6465	1017
864	6471	1009
865	6477	1002
866	6484	994
867	6490	986
868	6496	979
869	6502	971
870	6508	963
871	6513	956
872	6519	948
873	6525	940
874	6532	933
875	6538	925
876	6544	917
877	6550	910
878	6556	902
879	6562	894
880	6569	887
881	6575	879
882	6581	872
883	6587	864
884	6594	856
885	6600	849
886	6607	841
887	6614	834
888	6620	826
889	6626	819
890	6632	811
891	6639	803
892	6645	796
893	6651	788
894	6657	781
895	6664	773
896	6670	766
897	6677	758
898	6682	750
899	6688	743
900	6694	735
901	6700	727
902	6706	720
903	6712	712
904	6718	705
905	6726	697
906	6732	690
907	6738	682
908	6744	675
909	6750	667
910	6756	660
911	6762	652
912	6768	644
913	6774	637
914	6780	629
915	6787	622
916	6793	614
917	6799	607
918	6804	599
919	6810	592
920	6816	584
921	6822	577
922	6828	569
923	6834	562
924	6840	554
925	6846	547
926	6852	539
927	6858	532
928	6864	524
929	6870	517
930	6876	509
931	6882	502
932	6888	494
933	6894	487
934	6900	479
935	6906	472
936	6912	464
937	6918	457
938	6924	449
939	6931	442
940	6937	434
941	6943	427
942	6948	420
943	6954	412
944	6960	405
945	6967	397
946	6973	390
947	6978	382
948	6984	375
949	6990	367
950	6996	360
951	7002	353
952	7008	345
953	7014	338
954	7020	330
955	7027	323
956	7033	316
957	7039	308
958	7045	301
959	7050	293
960	7057	286
961	7062	278
962	7068	271
963	7074	264
964	7080	256
965	7087	249
966	7093	242
967	7098	234
968	7104	227
969	7110	219
970	7116	212
971	7123	205
972	7128	197
973	7134	190
974	7140	183
975	7147	175
976	7152	168
977	7158	161
978	7164	153
979	7170	146
980	7177	139
981	7183	131
982	7190	124
983	7196	117
984	7202	109
985	7208	102
986	7215	95
987	7221	87
988	7227	80
989	7233	73
990	7239	65
991	7245	58
992	7251	51
993	7257	43
994	7263	36
995	7269	29
996	7275	21
997	7281	14
998	7287	7
999	7293	0
